Year,Round,Game,Home,Home Score,Venue,Home Field-H,Home State,LP-H
2019,round23,3Game7,Western Bulldogs,121,Eureka,Docklands,VIC,8
2019,round23,3Game8,Richmond,82,MCG,MCG,VIC,4
2019,round23,3Game9,Port Adelaide,110,Adelaide Oval,Adelaide Oval,SA,11
2018,round1,Game1,Richmond,121,MCG,MCG,VIC,3
2018,round1,Game2,Essendon,99,Docklands,Docklands,VIC,7
2018,round1,Game3,St. Kilda,107,Docklands,Docklands,VIC,11
2018,round1,Game4,Port Adelaide,110,Adelaide Oval,Adelaide Oval,SA,5
2018,round1,Game5,Gold Coast,55,Cazaly's Stadium,Metricon,QLD,17
2018,round1,Game6,Hawthorn,101,MCG,MCG,VIC,12
2018,round1,Game7,Greater Western Sydney,133,UNSW Canberra Oval,Sydney Showground,NSW,4
2018,round1,Game8,Melbourne,94,MCG,MCG,VIC,9
2018,round1,Game9,West Coast,86,Perth Stadium,Perth Stadium,WA,8
2018,round2,Game1,Adelaide,118,Adelaide Oval,Adelaide Oval,SA,11
2018,round2,Game2,North Melbourne,95,Docklands,Docklands,VIC,15
2018,round2,Game3,Carlton,67,Docklands,Docklands,VIC,12
2018,round2,Game4,Collingwood,79,MCG,MCG,VIC,16
2018,round2,Game5,Brisbane,74,Gabba,Gabba,QLD,13
2018,round2,Game6,Fremantle,106,Perth Stadium,Perth Stadium,WA,17
2018,round2,Game7,Western Bulldogs,70,Docklands,Docklands,VIC,18
2018,round2,Game8,Sydney,71,SCG,SCG,NSW,5
2018,round2,Game9,Geelong,117,MCG,Kardinia Park,VIC,9
2018,round3,Game1,Carlton,76,MCG,Docklands,VIC,17
2018,round3,Game2,Port Adelaide,97,Adelaide Oval,Adelaide Oval,SA,2
2018,round3,Game3,Melbourne,123,MCG,MCG,VIC,6
2018,round3,Game4,Gold Coast,68,Perth Stadium,Metricon,QLD,3
2018,round3,Game5,Sydney,103,SCG,SCG,NSW,9
2018,round3,Game6,St. Kilda,55,Docklands,Docklands,VIC,13
2018,round3,Game7,Richmond,102,MCG,MCG,VIC,12
2018,round3,Game8,Western Bulldogs,104,Docklands,Docklands,VIC,18
2018,round3,Game9,West Coast,95,Perth Stadium,Perth Stadium,WA,8
