Player,Team,Position,,,
Charlie Spargo,Melbourne,Forward,,,
Tim Smith,Melbourne,Forward,,,
Shaun Atley,North Melbourne,Forward,,,
Ben Brown,North Melbourne,Forward,,,
Nathan Hrovat,North Melbourne,Forward,,,
Jy Simpkin,North Melbourne,Forward,,,
Kayne Turner,North Melbourne,Forward,,,
Jarrad Waite,North Melbourne,Forward,,,
Jack Ziebell,North Melbourne,Forward,,,
Cameron Zurhaar,North Melbourne,Forward,,,
Mason Wood,North Melbourne,Forward,,,
Will Walker,North Melbourne,Forward,,,
Travis Boak,Port Adelaide,Forward,,,
Charlie Dixon,Port Adelaide,Forward,,,
Sam Gray,Port Adelaide,Forward,,,
Todd Marshall,Port Adelaide,Forward,,,
Jack Watts,Port Adelaide,Forward,,,
Jake Neade,Port Adelaide,Forward,,,
Lindsay Thomas,Port Adelaide,Forward,,,
Aidyn Johnson,Port Adelaide,Forward,,,
Kane Farrell,Port Adelaide,Forward,,,
Shai Bolton,Richmond,Forward,,,
Dan Butler,Richmond,Forward,,,
Josh Caddy,Richmond,Forward,,,
Jason Castagna,Richmond,Forward,,,
Kane Lambert,Richmond,Forward,,,
Jack Riewoldt,Richmond,Forward,,,
Jacob Townsend,Richmond,Forward,,,
Jack Higgins,Richmond,Forward,,,
Callum Moore,Richmond,Forward,,,
Daniel Rioli,Richmond,Forward,,,
