Year,Round,Game,Away,Away Score,Home Field-A,Away State,LP-A
2019,round15,5Game4,Gold Coast,51,Metricon,QLD,17
2019,round15,5Game5,North Melbourne,81,Docklands,VIC,13
2019,round15,5Game6,Western Bulldogs,66,Docklands,VIC,15
2019,round15,5Game7,Richmond,103,MCG,VIC,9
2019,round15,5Game8,Melbourne,74,MCG,VIC,16
2019,round15,5Game9,Carlton,79,Docklands,VIC,18
2019,round16,6Game1,Collingwood,63,MCG,VIC,2
2019,round16,6Game2,Sydney,66,SCG,NSW,12
2019,round16,6Game3,Richmond,150,MCG,VIC,7
2019,round16,6Game4,Port Adelaide,101,Adelaide Oval,SA,9
2019,round16,6Game5,Geelong,55,Kardinia Park,VIC,1
2019,round16,6Game6,West Coast,122,Perth Stadium,WA,3
2019,round16,6Game7,Melbourne,105,MCG,VIC,16
2019,round16,6Game8,St. Kilda,73,Docklands,VIC,14
2019,round16,6Game9,Brisbane,94,Gabba,QLD,5
2019,round17,7Game1,Collingwood,78,MCG,VIC,3
2019,round17,7Game2,Carlton,69,Docklands,VIC,17
2019,round17,7Game3,Fremantle,53,Perth Stadium,WA,11
2019,round17,7Game4,North Melbourne,81,Docklands,VIC,10
2019,round17,7Game5,Adelaide,151,Adelaide Oval,SA,8
2019,round17,7Game6,St. Kilda,57,Docklands,VIC,15
2019,round17,7Game7,Greater Western Sydney,67,Sydney Showground,NSW,5
2019,round17,7Game8,Melbourne,66,MCG,VIC,16
2019,round17,7Game9,Brisbane,97,Gabba,QLD,4
2019,round18,8Game1,Essendon,96,Docklands,VIC,8
2019,round18,8Game2,Port Adelaide,63,Adelaide Oval,SA,9
2019,round18,8Game3,Gold Coast,75,Metricon,QLD,18
2019,round18,8Game4,Collingwood,75,MCG,VIC,2
2019,round18,8Game5,North Melbourne,75,Docklands,VIC,12
2019,round18,8Game6,Sydney,51,SCG,NSW,14
2019,round18,8Game7,Hawthorn,85,MCG,VIC,11
2019,round18,8Game8,West Coast,91,Perth Stadium,WA,4
2019,round18,8Game9,Western Bulldogs,89,Docklands,VIC,10
2019,round19,9Game1,Richmond,98,MCG,VIC,5
2019,round19,9Game2,Brisbane,87,Gabba,QLD,2
2019,round19,9Game3,Adelaide,60,Adelaide Oval,SA,8
2019,round19,9Game4,North Melbourne,72,Docklands,VIC,13
2019,round19,9Game5,Melbourne,85,MCG,VIC,17
2019,round19,9Game6,Greater Western Sydney,56,Sydney Showground,NSW,6
2019,round19,9Game7,Fremantle,66,Perth Stadium,WA,11
2019,round19,9Game8,Geelong,107,Kardinia Park,VIC,1
2019,round19,9Game9,Essendon,106,Docklands,VIC,7
2019,round20,0Game1,Hawthorn,64,MCG,VIC,11
2019,round20,0Game2,Port Adelaide,126,Adelaide Oval,SA,10
2019,round20,0Game3,Sydney,81,SCG,NSW,15
2019,round20,0Game4,Geelong,61,Kardinia Park,VIC,1
2019,round20,0Game5,Richmond,93,MCG,VIC,4
2019,round20,0Game6,St. Kilda,70,Docklands,VIC,13
2019,round20,0Game7,Gold Coast,51,Metricon,QLD,18
2019,round20,0Game8,West Coast,99,Perth Stadium,WA,2
