,Player,Team,Position,DOB,Age,Height,Weight,,,,
423,Jimmy Bartel,Geelong,Defender,4 Dec 83,32yr,187cm,89kg,,,,
923,Gryan Miers,Geelong,Forward,30 Mar 99,20yr,178cm,77kg,,,,
74,Zach Guthrie,Geelong,Defender,30 Jun 98,20yr,184cm,69kg,,,,
5968,ZacÿBates,Geelong,Midfield,30 Apr 95,20yr,176cm,73kg,,,,
563,Quinton Narkle,Geelong,Forward,3 Dec 97,21yr,181cm,82kg,,,,
1216,Jesse Stringer,Geelong,Midfield,3 Apr 91,23yr,182cm,82kg,,,,
560,Jamaine Jones,Geelong,Forward,29 Sep 98,20yr,177cm,77kg,,,,
559,Aaron Black,Geelong,Forward,29 Nov 90,27yr,192cm,88kg,,,,
79,Jack Henry,Geelong,Defender,29 Aug 98,20yr,191cm,83kg,,,,
1054,Jackson Thurlow,Geelong,Midfield,28 Mar 94,25yr,190cm,79kg,,,,
72,Mark Blicavs,Geelong,Defender,28 Mar 91,28yr,198cm,95kg,,,,
1051,Scott Selwood,Geelong,Midfield,27 Mar 90,29yr,186cm,86kg,,,,
958,Ben Jarvis,Geelong,Defender,27 Jul 00,18yr,189cm,82kg,,,,
554,Brandan Parfitt,Geelong,Forward,27 Apr 98,20yr,179cm,79kg,,,,
7142,TimmÿHouse,Geelong,Forward,26 May 95,22yr,194cm,95kg,,,,
1050,Joel Selwood,Geelong,Midfield,26 May 88,30yr,182cm,87kg,,,,
850,Tim Kelly,Geelong,Forward,26 Jul 94,24yr,182cm,82kg,,,,
984,Blake Schlensog,Geelong,Forward,25 Sep 00,18yr,195cm,90kg,,,,
983,Nathan Kreuger,Geelong,Forward,25 Jun 99,19yr,196cm,86kg,,,,
1369,Ryan Abbott,Geelong,Ruck,25 Jun 91,27yr,200cm,99kg,,,,
237,Tom Ruggles,Geelong,Defender,25 Apr 92,24yr,186cm,83kg,,,,
3016,CamÿEardley,Geelong,Midfield,24 Jun 93,19yr,180cm,80kg,,,,
557,Nakia Cockatoo,Geelong,Forward,23 Oct 96,22yr,185cm,82kg,,,,
1049,Jordan Murdoch,Geelong,Midfield,23 Mar 92,27yr,190cm,85kg,,,,
741,Michael Luxford,Geelong,Forward,23 Feb 95,21yr,186cm,92kg,,,,
925,Jake Tarca,Geelong,Forward,23 Feb 00,19yr,175cm,75kg,,,,
562,Lincoln McCarthy,Geelong,Forward,22 Oct 93,25yr,177cm,79kg,,,,
1215,Jackson Sheringham,Geelong,Midfield,22 Jun 88,25yr,179cm,75kg,,,,
1367,Zac Smith,Geelong,Ruck,22 Feb 90,29yr,205cm,98kg,,,,
1053,George Horlin-Smith,Geelong,Midfield,22 Dec 92,26yr,186cm,83kg,,,,
552,Tom Hawkins,Geelong,Forward,21 Jul 88,30yr,197cm,105kg,,,,
561,Wylie Buzza,Geelong,Forward,2 Mar 96,23yr,197cm,99kg,,,,
715,Mitch Clark,Geelong,Forward,19 Oct 87,28yr,200cm,103kg,,,,
897,Sam Blease,Geelong,Forward,19 Feb 91,24yr,184cm,77kg,,,,
73,Cameron Guthrie,Geelong,Defender,19 Aug 92,26yr,186cm,82kg,,,,
924,Tom Atkins,Geelong,Forward,18 Sep 95,23yr,180cm,85kg,,,,
399,David Wojcinski,Geelong,Defender,18 Sep 80,31yr,180cm,80kg,,,,
313,Jared Rivers,Geelong,Defender,18 Oct 84,30yr,192cm,92kg,,,,
1284,Charlie Constable,Geelong,Midfield,18 May 99,19yr,191cm,86kg,,,,
6383,TomÿRead,Geelong,Forward,18 Jul 96,19yr,200cm,92kg,,,,
235,Tom Lonergan,Geelong,Defender,17 May 84,32yr,197cm,93kg,,,,
80,Mark OConnor,Geelong,Defender,17 Jan 97,22yr,189cm,82kg,,,,
1236,Joel Corey,Geelong,Midfield,17 Feb 82,31yr,191cm,88kg,,,,
1283,Jordan Clark,Geelong,Midfield,16 Oct 00,18yr,185cm,81kg,,,,
901,Brad Hartman,Geelong,Forward,16 Nov 94,20yr,188cm,75kg,,,,
1158,Josh Cowan,Geelong,Midfield,16 Mar 91,26yr,184cm,82kg,,,,
763,George Burbury,Geelong,Forward,16 Jun 92,21yr,186cm,80kg,,,,
1285,Jacob Kennerley,Geelong,Midfield,16 Jun 00,18yr,184cm,76kg,,,,
436,Oscar Brownless,Geelong,Defender,16 Feb 00,19yr,187cm,75kg,,,,
3002,SimonÿHogan,Geelong,Midfield,16 Aug 88,23yr,182cm,83kg,,,,
76,Tom Stewart,Geelong,Defender,15 Mar 93,26yr,190cm,88kg,,,,
556,Esava Ratugolea,Geelong,Forward,15 Jul 98,20yr,194cm,95kg,,,,
272,Corey Enright,Geelong,Defender,14 Sep 81,34yr,187cm,91kg,,,,
1047,Gary Ablett,Geelong,Midfield,14 May 84,34yr,182cm,87kg,,,,
1055,Sam Simpson,Geelong,Midfield,14 Jun 98,20yr,179cm,64kg,,,,
71,Jed Bews,Geelong,Defender,14 Dec 93,25yr,186cm,85kg,,,,
81,Lachie Henderson,Geelong,Defender,14 Dec 89,29yr,196cm,96kg,,,,
553,Daniel Menzel,Geelong,Forward,13 Sep 91,27yr,188cm,89kg,,,,
77,Harry Taylor,Geelong,Defender,12 Jun 86,32yr,193cm,96kg,,,,
437,Stefan Okunbor,Geelong,Defender,12 Aug 98,20yr,190cm,87kg,,,,
555,James Parsons,Geelong,Forward,12 Apr 97,22yr,189cm,82kg,,,,
1048,Mitch Duncan,Geelong,Midfield,10 Jun 91,27yr,187cm,86kg,,,,
78,Zach Tuohy,Geelong,Defender,10 Dec 89,29yr,187cm,91kg,,,,
558,Stewart Crameri,Geelong,Forward,10 Aug 88,29yr,190cm,96kg,,,,
1368,Rhys Stanley,Geelong,Ruck,1 Dec 90,28yr,200cm,96kg,,,,
550,Lachie Fogarty,Geelong,Forward,1 Apr 99,20yr,179cm,75kg,,,,
1156,Nick Suban,Fremantle,Midfield,9 May 90,26yr,180cm,82kg,,,,
62,Alex Pearce,Fremantle,Defender,9 Jun 95,23yr,200cm,92kg,,,,
3771,BradÿHill,Fremantle,Midfield,9 Jul 93,25yr,180cm,78kg,,,,
1042,Bradley Hill,Fremantle,Midfield,9 Jul 93,25yr,180cm,78kg,,,,
1348,Jack Hannath,Fremantle,Ruck,9 Jul 91,24yr,201cm,102kg,,,,
900,Josh Simpson,Fremantle,Forward,9 Feb 94,20yr,184cm,73kg,,,,
66,Joel Hamling,Fremantle,Defender,9 Apr 93,26yr,194cm,88kg,,,,
1040,Andrew Brayshaw,Fremantle,Midfield,8 Nov 99,19yr,184cm,82kg,,,,
762,Colin Sylvia,Fremantle,Forward,8 Nov 85,29yr,186cm,86kg,,,,
1282,Luke Valente,Fremantle,Midfield,8 May 00,18yr,187cm,82kg,,,,
271,Tanner Smith,Fremantle,Defender,8 Mar 94,22yr,196cm,90kg,,,,
544,Adam Cerra,Fremantle,Forward,7 Oct 99,19yr,186cm,80kg,,,,
396,Jayden Pitt,Fremantle,Defender,7 Oct 92,20yr,188cm,83kg,,,,
65,Nathan Wilson,Fremantle,Defender,7 Jan 93,26yr,184cm,78kg,,,,
849,Michael Walters,Fremantle,Forward,7 Jan 91,28yr,177cm,77kg,,,,
69,Ethan Hughes,Fremantle,Defender,7 Dec 94,24yr,187cm,79kg,,,,
542,Danyle Pearce,Fremantle,Forward,7 Apr 86,32yr,178cm,80kg,,,,
70,Ryan Nyhuis,Fremantle,Defender,6 Sep 96,22yr,181cm,82kg,,,,
811,Adam McPhee,Fremantle,Forward,6 Oct 82,29yr,190cm,89kg,,,,
63,Luke Ryan,Fremantle,Defender,6 Feb 96,23yr,186cm,85kg,,,,
1365,Aaron Sandilands,Fremantle,Ruck,6 Dec 82,36yr,211cm,120kg,,,,
882,Harley Balic,Fremantle,Forward,5 Jan 97,21yr,187cm,82kg,,,,
311,Paul Duffield,Fremantle,Defender,5 Feb 85,30yr,188cm,86kg,,,,
712,Matthew Pavlich,Fremantle,Forward,31 Dec 81,34yr,192cm,99kg,,,,
921,Lachie Schultz,Fremantle,Forward,30 Nov 97,21yr,177cm,72kg,,,,
957,Tobe Watson,Fremantle,Defender,3 Dec 97,21yr,188cm,82kg,,,,
1214,Anthony Morabito,Fremantle,Midfield,29 Oct 91,24yr,189cm,93kg,,,,
789,Josh Mellington,Fremantle,Forward,29 Dec 92,20yr,185cm,84kg,,,,
1046,Tom Sheridan,Fremantle,Midfield,28 Oct 93,25yr,187cm,81kg,,,,
1402,Zac Clarke,Fremantle,Ruck,28 Mar 90,29yr,203cm,97kg,,,,
1333,Michael Apeness,Fremantle,Ruck,28 Jan 95,23yr,201cm,98kg,,,,
545,Mitch Crowden,Fremantle,Forward,28 Apr 99,19yr,175cm,88kg,,,,
232,Lee Spurr,Fremantle,Defender,27 Jul 87,30yr,182cm,83kg,,,,
981,Hugh Dixon,Fremantle,Forward,26 Feb 99,20yr,195cm,90kg,,,,
847,Bailey Banfield,Fremantle,Forward,26 Feb 98,21yr,188cm,86kg,,,,
1193,Jacob Ballard,Fremantle,Midfield,26 Feb 94,21yr,188cm,89kg,,,,
5443,AlexÿHowson,Fremantle,Forward,25 May 94,18yr,195cm,84kg,,,,
1044,Lachie Neale,Fremantle,Midfield,24 May 93,25yr,176cm,81kg,,,,
359,Peter Faulks,Fremantle,Defender,24 Apr 88,24yr,194cm,82kg,,,,
422,Clancee Pearce,Fremantle,Defender,23 Oct 90,25yr,182cm,89kg,,,,
64,Cameron Sutcliffe,Fremantle,Defender,23 May 92,26yr,186cm,85kg,,,,
1045,Darcy Tucker,Fremantle,Midfield,23 Jan 97,22yr,184cm,78kg,,,,
230,Zac Dawson,Fremantle,Defender,22 Feb 86,31yr,197cm,93kg,,,,
1419,Craig Moller,Fremantle,Ruck,22 Aug 94,20yr,204cm,86kg,,,,
1429,Lloyd Meek,Fremantle,Ruck,22 Apr 98,20yr,201cm,102kg,,,,
60,Michael Johnson,Fremantle,Defender,20 Oct 84,33yr,195cm,88kg,,,,
549,Sam Switkowski,Fremantle,Forward,20 Nov 96,22yr,178cm,68kg,,,,
1334,Scott Jones,Fremantle,Ruck,20 May 95,23yr,205cm,109kg,,,,
5941,ThomasÿVandeleur,Fremantle,Defender,20 Mar 95,20yr,194cm,91kg,,,,
548,Brady Grey,Fremantle,Forward,20 Jul 95,22yr,180cm,87kg,,,,
848,David Mundy,Fremantle,Forward,20 Jul 85,33yr,192cm,91kg,,,,
1157,Harley Bennell,Fremantle,Midfield,2 Oct 92,26yr,185cm,82kg,,,,
59,Connor Blakely,Fremantle,Defender,2 Mar 96,23yr,188cm,85kg,,,,
714,Shane Yarran,Fremantle,Forward,2 Jun 89,27yr,185cm,79kg,,,,
956,Dillon OReilly,Fremantle,Defender,2 Jun 00,18yr,193cm,79kg,,,,
812,John Anthony,Fremantle,Forward,19 Jan 88,24yr,192cm,94kg,,,,
1041,Nat Fyfe,Fremantle,Midfield,18 Sep 91,27yr,190cm,88kg,,,,
1256,Jay van Berlo,Fremantle,Midfield,18 Sep 88,23yr,186cm,83kg,,,,
1235,Jesse Crichton,Fremantle,Midfield,18 Jun 91,21yr,185cm,83kg,,,,
68,Taylin Duman,Fremantle,Defender,18 Apr 98,21yr,193cm,75kg,,,,
543,Matthew Taberner,Fremantle,Forward,17 Jun 93,25yr,197cm,89kg,,,,
539,Hayden Ballantyne,Fremantle,Forward,16 Jul 87,31yr,174cm,78kg,,,,
61,Shane Kersten,Fremantle,Defender,15 Mar 93,26yr,190cm,94kg,,,,
231,Garrick Ibbotson,Fremantle,Defender,15 Mar 88,29yr,186cm,86kg,,,,
234,Sam Collins,Fremantle,Defender,15 Jun 94,24yr,194cm,92kg,,,,
360,Alex Forster,Fremantle,Defender,14 Jul 93,19yr,189cm,85kg,,,,
1389,Jonathon Griffin,Fremantle,Ruck,14 Jan 86,31yr,201cm,102kg,,,,
1281,Tom North,Fremantle,Midfield,14 Feb 99,20yr,184cm,84kg,,,,
920,Brett Bewley,Fremantle,Forward,14 Apr 95,24yr,185cm,87kg,,,,
788,Kepler Bradley,Fremantle,Forward,13 Nov 85,28yr,198cm,100kg,,,,
546,Brennan Cox,Fremantle,Forward,13 Aug 98,20yr,193cm,93kg,,,,
233,Griffin Logue,Fremantle,Defender,13 Apr 98,21yr,193cm,95kg,,,,
922,Sam Sturt,Fremantle,Forward,12 May 00,18yr,189cm,74kg,,,,
1366,Sean Darcy,Fremantle,Ruck,12 Jun 98,20yr,201cm,113kg,,,,
883,Josh Deluca,Fremantle,Forward,11 May 96,22yr,182cm,80kg,,,,
540,Brandon Matera,Fremantle,Forward,11 Mar 92,27yr,175cm,70kg,,,,
397,Antoni Grover,Fremantle,Defender,11 Mar 80,32yr,189cm,98kg,,,,
435,Jason Carter,Fremantle,Defender,11 Jan 00,19yr,185cm,76kg,,,,
740,Max Duffy,Fremantle,Forward,11 Apr 93,22yr,184cm,77kg,,,,
547,Stefan Giro,Fremantle,Forward,10 Mar 99,20yr,175cm,72kg,,,,
67,Stephen Hill,Fremantle,Defender,1 May 90,28yr,182cm,82kg,,,,
1043,Ed Langdon,Fremantle,Midfield,1 Feb 96,23yr,181cm,74kg,,,,
312,Luke McPharlin,Fremantle,Defender,1 Dec 81,33yr,192cm,91kg,,,,
541,Cam McCarthy,Fremantle,Forward,1 Apr 95,24yr,195cm,83kg,,,,
6008,CameronÿMcCarthy,Fremantle,Forward,1 Apr 95,24yr,195cm,83kg,,,,
713,Matthew de Boer,Fremantle,Forward,10-Mar-90,,189cm,86kg,,,,
1255,Brendan Lee,Essendon,Midfield,9 Sep 87,24yr,181cm,78kg,,,,
1363,Tom Bellchambers,Essendon,Ruck,9 Jul 89,29yr,202cm,110kg,,,,
309,Alex Browne,Essendon,Defender,9 Aug 92,22yr,188cm,86kg,,,,
1400,Mark Jamar,Essendon,Ruck,9 Aug 83,32yr,198cm,101kg,,,,
980,Luke Lavender,Essendon,Forward,8 Jul 96,22yr,202cm,95kg,,,,
1153,Jobe Watson,Essendon,Midfield,8 Feb 85,32yr,191cm,95kg,,,,
761,Cory DellOlio,Essendon,Forward,8 Dec 89,24yr,175cm,81kg,,,,
307,Dustin Fletcher,Essendon,Defender,7 May 75,39yr,198cm,93kg,,,,
49,Michael Hartley,Essendon,Defender,7 Jun 93,25yr,199cm,100kg,,,,
1364,Matthew Leuenberger,Essendon,Ruck,7 Jun 88,29yr,203cm,104kg,,,,
1038,Dylan Clarke,Essendon,Midfield,6 Sep 98,20yr,187cm,85kg,,,,
760,Leroy Jetta,Essendon,Forward,6 Jul 88,25yr,180cm,78kg,,,,
2411,AnthonyÿLong,Essendon,Midfield,6 Jan 91,21yr,187cm,81kg,,,,
739,Paul Chapman,Essendon,Forward,5 Nov 81,33yr,179cm,89kg,,,,
1176,Ryan Crowley,Essendon,Midfield,5 Mar 84,32yr,188cm,89kg,,,,
1401,Sam Michael,Essendon,Ruck,5 Jul 93,22yr,199cm,98kg,,,,
269,Nathan Grima,Essendon,Defender,5 Aug 85,30yr,192cm,94kg,,,,
1280,Trent Mynott,Essendon,Midfield,4 Oct 99,19yr,185cm,75kg,,,,
533,James Stewart,Essendon,Forward,4 Mar 94,25yr,195cm,80kg,,,,
530,Joe Daniher,Essendon,Forward,4 Mar 94,25yr,201cm,94kg,,,,
55,Ben McNiece,Essendon,Defender,31 Aug 99,19yr,196cm,93kg,,,,
709,Adam Cooney,Essendon,Forward,30 Sep 85,30yr,185cm,87kg,,,,
1035,David Myers,Essendon,Midfield,30 Jun 89,29yr,191cm,92kg,,,,
1033,Zach Merrett,Essendon,Midfield,3 Oct 95,23yr,180cm,77kg,,,,
528,Josh Begley,Essendon,Forward,3 Jul 98,20yr,187cm,93kg,,,,
1347,Sam Grimley,Essendon,Ruck,3 Jan 91,25yr,199cm,96kg,,,,
1039,Jake Long,Essendon,Midfield,3 Feb 96,23yr,186cm,75kg,,,,
787,Scott Gumbleton,Essendon,Forward,3 Aug 88,25yr,197cm,99kg,,,,
419,James Kelly,Essendon,Defender,29 Dec 83,33yr,183cm,86kg,,,,
1428,Sam Draper,Essendon,Ruck,28 Sep 98,20yr,202cm,100kg,,,,
1254,Ricky Dyson,Essendon,Midfield,28 Sep 85,26yr,183cm,86kg,,,,
889,Jonathan Simpkin,Essendon,Forward,28 Oct 87,28yr,181cm,80kg,,,,
52,Conor McKenna,Essendon,Defender,28 Mar 96,23yr,182cm,82kg,,,,
529,Mitch Brown,Essendon,Forward,28 Aug 90,28yr,195cm,93kg,,,,
268,Courtenay Dempsey,Essendon,Defender,28 Aug 87,28yr,187cm,85kg,,,,
461,Jackson Merrett,Essendon,Forward,27 Feb 93,25yr,187cm,78kg,,,,
1154,Heath Hocking,Essendon,Midfield,27 Dec 87,29yr,186cm,88kg,,,,
1192,Nick OBrien,Essendon,Midfield,26 Jun 93,21yr,188cm,92kg,,,,
426,Mark McVeigh,Essendon,Defender,26 Jan 81,31yr,184cm,85kg,,,,
57,Mason Redman,Essendon,Defender,26 Aug 97,21yr,187cm,76kg,,,,
308,Ariel Steinberg,Essendon,Defender,26 Aug 92,22yr,191cm,87kg,,,,
844,Darcy Parish,Essendon,Forward,25 Jul 97,21yr,181cm,73kg,,,,
955,Brandon Zerk-Thatcher,Essendon,Defender,25 Aug 98,20yr,195cm,77kg,,,,
229,Martin Gleeson,Essendon,Defender,25 Aug 94,24yr,186cm,70kg,,,,
1321,Brayden Ham,Essendon,Midfield,25 Apr 99,19yr,181cm,69kg,,,,
534,Jake Stringer,Essendon,Forward,25 Apr 94,24yr,191cm,92kg,,,,
310,Tayte Pears,Essendon,Defender,24 Mar 90,26yr,192cm,92kg,,,,
531,Josh Green,Essendon,Forward,24 Aug 92,25yr,177cm,80kg,,,,
846,Travis Colyer,Essendon,Forward,24 Aug 91,27yr,175cm,75kg,,,,
919,Irving Mosquito,Essendon,Forward,24 Aug 00,18yr,176cm,72kg,,,,
53,Adam Saad,Essendon,Defender,23 Jul 94,24yr,178cm,74kg,,,,
890,Mathew Stokes,Essendon,Forward,22 Nov 84,31yr,175cm,77kg,,,,
358,Lauchlan Dalgleish,Essendon,Defender,22 Jun 93,21yr,185cm,77kg,,,,
1212,Dylan van Unen,Essendon,Midfield,22 Jun 90,23yr,189cm,88kg,,,,
395,Henry Slattery,Essendon,Defender,22 Jan 86,26yr,185cm,86kg,,,,
532,Anthony McDonald-Tipungwuti,Essendon,Forward,22 Apr 93,25yr,171cm,77kg,,,,
881,Ben Howlett,Essendon,Forward,21 Oct 88,28yr,180cm,80kg,,,,
535,Mark Baguley,Essendon,Forward,21 May 87,31yr,181cm,83kg,,,,
1155,Craig Bird,Essendon,Midfield,21 Jan 89,28yr,179cm,85kg,,,,
1177,James Polkinghorne,Essendon,Midfield,21 Jan 89,27yr,184cm,87kg,,,,
1034,David Zaharakis,Essendon,Midfield,21 Feb 90,29yr,185cm,82kg,,,,
56,Jordan Ridley,Essendon,Defender,20 Oct 98,20yr,192cm,79kg,,,,
845,Devon Smith,Essendon,Forward,20 May 93,25yr,174cm,76kg,,,,
415,Brendon Goddard,Essendon,Defender,20 May 85,32yr,189cm,94kg,,,,
416,Andrew McGrath,Essendon,Defender,2 Jun 98,20yr,178cm,78kg,,,,
1354,David Hille,Essendon,Ruck,2 Jun 81,31yr,202cm,108kg,,,,
1213,Kurt Aylett,Essendon,Midfield,2 Apr 92,23yr,188cm,78kg,,,,
1191,Elliott Kavanagh,Essendon,Midfield,19 May 93,21yr,187cm,80kg,,,,
918,Jordan Houlahan,Essendon,Forward,19 Feb 99,20yr,185cm,76kg,,,,
1234,Nathan Lovett-Murray,Essendon,Midfield,18 Nov 82,30yr,190cm,87kg,,,,
1037,Kobe Mutch,Essendon,Midfield,18 Mar 98,21yr,184cm,79kg,,,,
270,Jason Ashby,Essendon,Defender,16 May 94,21yr,187cm,77kg,,,,
786,Alwyn Davey,Essendon,Forward,15 May 84,28yr,174cm,76kg,,,,
1036,Matt Guelfi,Essendon,Midfield,15 Aug 97,21yr,183cm,75kg,,,,
536,Orazio Fantasia,Essendon,Forward,14 Sep 95,23yr,178cm,64kg,,,,
1032,Dyson Heppell,Essendon,Midfield,14 May 92,26yr,189cm,85kg,,,,
711,Will Hams,Essendon,Forward,14 Jul 94,21yr,180cm,71kg,,,,
6768,TomÿWallis,Essendon,Midfield,14 Feb 97,19yr,182cm,70kg,,,,
48,Matt Dea,Essendon,Defender,13 Oct 91,27yr,186cm,87kg,,,,
50,Cale Hooker,Essendon,Defender,13 Oct 88,30yr,197cm,98kg,,,,
891,Shaun Edwards,Essendon,Forward,13 Dec 93,23yr,189cm,81kg,,,,
537,Jayden Laverde,Essendon,Forward,12 Apr 96,23yr,190cm,82kg,,,,
267,James Gwilt,Essendon,Defender,11 Aug 86,29yr,188cm,96kg,,,,
476,Jason Winderlich,Essendon,Forward,10 Oct 84,30yr,188cm,82kg,,,,
810,Kyle Reimers,Essendon,Forward,10 Jan 89,23yr,182cm,85kg,,,,
58,Aaron Francis,Essendon,Defender,10 Aug 97,21yr,190cm,86kg,,,,
54,Patrick Ambrose,Essendon,Defender,1 Sep 91,27yr,191cm,88kg,,,,
538,Shaun McKernan,Essendon,Forward,1 Sep 90,28yr,196cm,99kg,,,,
332,Kyle Hardingham,Essendon,Defender,1 Sep 88,25yr,186cm,86kg,,,,
1152,Brent Stanton,Essendon,Midfield,1 May 86,30yr,185cm,84kg,,,,
51,Michael Hurley,Essendon,Defender,1 Jun 90,28yr,195cm,97kg,,,,
1279,Tom Jok,Essendon,Midfield,1 Jan 97,22yr,190cm,74kg,,,,
979,Noah Gown,Essendon,Forward,1 Feb 00,19yr,194cm,91kg,,,,
843,Kyle Langford,Essendon,Forward,1 Dec 96,22yr,191cm,80kg,,,,
710,Nick Kommer,Essendon,Forward,28-Sep-90,,184cm,78kg,,,,
1029,Adam Treloar,Collingwood,Midfield,9 Mar 93,26yr,180cm,82kg,,,,
38,Tom Langdon,Collingwood,Defender,9 Jun 94,24yr,191cm,81kg,,,,
681,Jesse White,Collingwood,Forward,9 Jan 88,29yr,196cm,102kg,,,,
1278,Tyler Brown,Collingwood,Midfield,9 Dec 99,19yr,187cm,71kg,,,,
228,Henry Schade,Collingwood,Defender,8 Oct 93,23yr,196cm,86kg,,,,
414,James Aish,Collingwood,Defender,8 Nov 95,23yr,184cm,74kg,,,,
525,Alex Fasolo,Collingwood,Forward,8 Jun 92,26yr,181cm,84kg,,,,
1027,Tom Phillips,Collingwood,Midfield,7 May 96,22yr,186cm,75kg,,,,
1026,Scott Pendlebury,Collingwood,Midfield,7 Jan 88,31yr,191cm,91kg,,,,
357,Jordan Russell,Collingwood,Defender,6 Nov 86,26yr,188cm,88kg,,,,
1417,Darren Jolly,Collingwood,Ruck,6 Nov 81,31yr,200cm,108kg,,,,
809,Kirk Ugle,Collingwood,Forward,6 May 92,19yr,172cm,73kg,,,,
1233,Ben Johnson,Collingwood,Midfield,5 Apr 81,32yr,183cm,85kg,,,,
527,Brody Mihocek,Collingwood,Forward,4 Feb 93,26yr,192cm,97kg,,,,
783,Andrew Krakouer,Collingwood,Forward,4 Feb 83,30yr,176cm,78kg,,,,
331,Nick Maxwell,Collingwood,Defender,3 Jun 83,30yr,193cm,93kg,,,,
524,Daniel Wells,Collingwood,Forward,3 Feb 85,34yr,181cm,79kg,,,,
306,Tony Armstrong,Collingwood,Defender,29 Sep 89,25yr,183cm,80kg,,,,
37,Jeremy Howe,Collingwood,Defender,29 Jun 90,28yr,190cm,86kg,,,,
1173,Brent Macaffer,Collingwood,Midfield,29 Feb 88,28yr,187cm,89kg,,,,
1190,Sam Dwyer,Collingwood,Midfield,29 Aug 86,28yr,177cm,76kg,,,,
708,Corey Gault,Collingwood,Forward,28 Oct 92,23yr,198cm,94kg,,,,
521,Callum Brown,Collingwood,Forward,27 Apr 98,20yr,178cm,73kg,,,,
683,Kayle Kirby,Collingwood,Forward,26 Oct 98,19yr,181cm,86kg,,,,
526,Josh Daicos,Collingwood,Forward,26 Nov 98,20yr,178cm,69kg,,,,
2339,TrentÿStubbs,Collingwood,Forward,26 Mar 92,20yr,187cm,78kg,,,,
1210,Luke Ball,Collingwood,Midfield,25 May 84,29yr,183cm,83kg,,,,
434,John Noble,Collingwood,Defender,25 Mar 97,22yr,180cm,72kg,,,,
460,Darcy Moore,Collingwood,Forward,25 Jan 96,23yr,199cm,93kg,,,,
784,Caolan Mooney,Collingwood,Forward,25 Jan 93,21yr,184cm,84kg,,,,
1174,Dane Swan,Collingwood,Midfield,25 Feb 84,32yr,185cm,93kg,,,,
44,Jack Madgen,Collingwood,Defender,25 Apr 93,25yr,196cm,95kg,,,,
782,Quinten Lynch,Collingwood,Forward,24 Jan 83,31yr,192cm,103kg,,,,
1418,Ben Hudson,Collingwood,Ruck,24 Feb 79,35yr,199cm,106kg,,,,
265,Alan Toovey,Collingwood,Defender,23 Mar 87,29yr,189cm,89kg,,,,
738,Patrick Karnezis,Collingwood,Forward,23 Apr 92,22yr,190cm,88kg,,,,
47,Tyson Goldsack,Collingwood,Defender,22 May 87,31yr,193cm,92kg,,,,
842,Tim Broomhead,Collingwood,Forward,22 Mar 94,25yr,182cm,77kg,,,,
2338,DanielÿFarmer,Collingwood,Forward,22 Jul 92,19yr,189cm,85kg,,,,
42,Flynn Appleby,Collingwood,Defender,21 Jan 99,20yr,187cm,81kg,,,,
682,Jamie Elliott,Collingwood,Forward,21 Aug 92,26yr,175cm,79kg,,,,
39,Brayden Maynard,Collingwood,Defender,20 Sep 96,22yr,186cm,88kg,,,,
1025,Taylor Adams,Collingwood,Midfield,20 Sep 93,25yr,179cm,84kg,,,,
392,Peter Yagmoor,Collingwood,Defender,20 Oct 93,20yr,181cm,85kg,,,,
227,Jackson Ramsay,Collingwood,Defender,20 Nov 94,22yr,183cm,77kg,,,,
1151,Rupert Wills,Collingwood,Midfield,20 May 93,25yr,191cm,89kg,,,,
1175,Matthew Goodyear,Collingwood,Midfield,20 Jul 96,19yr,185cm,79kg,,,,
40,Sam Murray,Collingwood,Defender,2 Sep 97,21yr,181cm,78kg,,,,
515,Will Hoskin-Elliott,Collingwood,Forward,2 Sep 93,25yr,186cm,76kg,,,,
35,Jack Crisp,Collingwood,Defender,2 Oct 93,25yr,190cm,89kg,,,,
1030,Chris Mayne,Collingwood,Midfield,2 Nov 88,30yr,188cm,87kg,,,,
517,Josh Smith,Collingwood,Forward,2 Jan 94,25yr,181cm,78kg,,,,
1028,Steele Sidebottom,Collingwood,Midfield,2 Jan 91,28yr,180cm,85kg,,,,
514,Ben Crocker,Collingwood,Forward,19 Feb 97,22yr,181cm,78kg,,,,
43,Levi Greenwood,Collingwood,Defender,19 Feb 89,30yr,181cm,87kg,,,,
393,Chris Tarrant,Collingwood,Defender,18 Sep 80,31yr,193cm,94kg,,,,
5354,BenÿRichmond,Collingwood,Defender,18 Feb 93,20yr,196cm,97kg,,,,
394,Simon Buckley,Collingwood,Defender,18 Apr 87,25yr,190cm,93kg,,,,
1211,Kyle Martin,Collingwood,Midfield,17 Sep 90,23yr,178cm,77kg,,,,
916,Atu Bosenavulagi,Collingwood,Forward,17 Sep 00,18yr,180cm,81kg,,,,
266,Jonathon Marsh,Collingwood,Defender,17 Oct 95,20yr,193cm,87kg,,,,
954,Mark Keane,Collingwood,Defender,17 Mar 00,19yr,194cm,96kg,,,,
425,Clinton Young,Collingwood,Defender,16 Feb 86,29yr,189cm,88kg,,,,
978,Will Kelly,Collingwood,Forward,16 Aug 00,18yr,196cm,87kg,,,,
522,Jordan de Goey,Collingwood,Forward,15 Mar 96,23yr,187cm,82kg,,,,
518,Jaidyn Stephenson,Collingwood,Forward,15 Jan 99,20yr,189cm,75kg,,,,
433,Isaac Quaynor,Collingwood,Defender,15 Jan 00,19yr,180cm,83kg,,,,
